,prediction
0,1
1,2
2,1
3,2
4,2
5,2
6,2
7,2
8,0
9,0
10,2
11,2
12,2
13,2
14,1
15,2
16,2
17,1
18,2
19,2
20,2
21,1
22,2
23,1
24,0
25,2
26,1
27,2
28,1
29,2
30,2
31,2
32,0
33,2
34,2
35,0
36,2
37,2
38,2
39,2
40,2
41,1
42,1
43,2
44,1
45,2
46,0
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,1
60,2
61,1
62,1
63,1
64,0
65,1
66,1
67,1
68,2
69,2
70,2
71,2
72,0
73,2
74,0
75,1
76,0
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,1
86,2
87,1
88,0
89,2
90,2
91,1
92,1
93,1
94,1
95,1
96,2
97,0
98,1
99,0
100,1
101,1
102,2
103,2
104,2
105,2
106,2
107,1
108,0
109,2
110,2
111,2
112,1
113,2
114,1
115,2
116,2
117,1
118,1
119,1
120,0
121,1
122,0
123,0
124,2
125,2
126,0
127,0
128,1
129,2
130,1
131,0
132,1
133,0
134,1
135,0
136,0
137,0
138,1
139,1
140,2
141,1
142,2
143,2
144,1
145,1
146,1
147,1
148,1
149,1
150,0
151,2
152,2
153,0
154,2
155,1
156,1
157,2
158,1
159,2
160,0
161,1
162,1
163,1
164,2
165,2
166,1
167,0
168,1
169,0
170,1
171,1
172,2
173,2
174,2
175,1
176,2
177,2
178,2
179,0
180,0
181,2
182,2
183,1
184,2
185,2
186,2
187,2
188,1
189,2
190,2
191,1
192,1
193,1
194,0
195,0
196,0
197,1
198,0
199,2
200,2
201,2
202,2
203,1
204,0
205,0
206,1
207,2
208,2
209,1
210,1
211,1
212,1
213,2
214,1
215,2
216,2
217,1
218,0
219,0
220,1
221,2
222,1
223,1
224,1
225,1
226,1
227,0
228,1
229,2
230,0
231,0
232,2
233,1
234,1
235,2
236,0
237,0
238,1
239,1
240,1
241,2
242,2
243,0
244,1
245,1
246,2
247,2
248,1
249,2
250,2
251,1
252,1
253,1
254,0
255,1
256,1
257,1
258,1
259,2
260,1
261,0
262,1
263,0
264,0
265,2
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,2
277,1
278,1
279,1
280,2
281,1
282,1
283,1
284,1
285,2
286,1
287,1
288,1
289,2
290,1
291,2
292,1
293,1
294,2
295,1
296,2
297,1
298,1
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,1
309,1
310,1
311,0
312,1
313,1
314,2
315,1
316,1
317,0
318,2
319,1
320,1
321,1
322,0
323,1
324,2
325,0
326,2
327,0
328,1
329,1
330,2
331,0
332,1
333,1
334,2
335,2
336,0
337,2
338,0
339,0
340,1
341,2
342,1
343,0
344,0
345,2
346,0
347,0
348,0
349,0
350,0
351,1
352,0
353,0
354,0
355,0
356,2
357,0
358,1
359,0
360,0
361,0
362,1
363,0
364,2
365,0
366,1
367,2
368,1
369,0
370,0
371,0
372,1
373,2
374,1
375,0
376,0
377,1
378,2
379,0
380,0
381,0
382,0
383,0
384,2
385,2
386,2
387,0
388,1
389,0
390,0
391,0
392,0
393,0
394,0
395,1
396,1
397,0
398,1
399,1
400,0
401,0
402,1
403,0
404,0
405,0
406,1
407,1
408,1
409,2
410,0
411,2
412,1
413,0
414,1
415,1
416,0
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,0
426,2
427,1
428,0
429,0
430,1
431,2
432,0
433,1
434,0
435,1
436,1
437,1
438,1
439,0
440,0
441,1
442,1
443,2
444,0
445,0
446,1
447,0
448,1
449,1
450,0
451,0
452,1
453,0
454,1
455,1
456,0
457,2
458,0
459,1
460,0
461,1
462,2
463,0
464,1
465,0
466,0
467,1
468,1
469,2
470,1
471,0
472,0
473,1
474,1
475,0
476,0
477,0
478,0
479,1
480,0
481,0
482,1
483,1
484,2
485,1
486,0
487,1
488,1
489,0
490,0
491,1
492,1
493,1
494,0
495,1
496,0
497,0
498,0
499,1
500,0
501,2
502,0
503,0
504,1
505,1
506,1
507,2
508,2
509,1
510,1
511,2
512,2
513,2
514,1
515,1
516,2
517,1
518,2
519,1
520,2
521,2
522,1
523,2
524,1
525,1
526,1
527,2
528,2
529,1
530,0
531,0
532,1
533,1
534,2
535,1
536,2
537,2
538,2
539,2
540,0
541,1
542,2
543,1
544,1
545,1
546,2
547,2
548,2
549,0
550,2
551,1
552,2
553,0
554,1
555,1
556,0
557,2
558,2
559,2
560,2
561,0
562,0
563,0
564,2
565,0
566,2
567,2
568,2
569,2
570,2
571,1
572,0
573,2
574,1
575,0
576,0
577,1
578,1
579,2
580,2
581,0
582,1
583,2
584,1
585,0
586,2
587,0
588,1
589,1
590,2
591,1
592,2
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,0
622,1
623,1
624,1
625,2
626,2
627,1
628,2
629,2
630,2
631,1
632,1
633,1
634,1
635,0
636,0
637,1
638,2
639,0
640,0
641,1
642,1
643,1
644,1
645,1
646,1
647,2
648,0
649,1
650,2
651,1
652,2
653,1
654,1
655,1
656,0
657,0
658,0
659,2
660,1
661,2
662,1
663,1
664,1
665,0
666,1
667,1
668,0
669,0
670,1
671,0
672,2
673,0
674,0
675,0
676,1
677,1
678,1
679,0
680,0
681,0
682,1
683,2
684,0
685,2
686,1
687,1
688,1
689,2
690,0
691,2
692,0
693,1
694,1
695,1
696,0
697,0
698,1
699,1
700,0
701,2
702,0
703,0
704,0
705,1
706,0
707,0
708,0
709,0
710,0
711,1
712,1
713,2
714,2
715,2
716,2
717,2
718,1
719,0
720,1
721,1
722,1
723,1
724,1
725,2
726,1
727,1
728,2
729,1
730,0
731,0
732,0
733,0
734,0
735,1
736,1
737,1
738,2
739,1
740,1
741,0
742,1
743,1
744,1
745,1
746,2
747,1
748,2
749,2
750,1
751,0
752,0
753,2
754,1
755,2
756,1
757,1
758,1
759,2
760,2
761,2
762,0
763,2
764,1
765,2
766,1
767,2
768,2
769,2
770,2
771,2
772,0
773,0
774,2
775,1
776,0
777,0
778,0
779,0
780,2
781,1
782,2
783,0
784,0
785,2
786,1
787,1
788,0
789,1
790,1
791,2
792,1
793,2
794,1
795,1
796,1
797,2
798,0
799,0
800,2
801,2
802,2
803,1
804,2
805,0
806,1
807,2
808,1
809,2
810,0
811,1
812,1
813,0
814,2
815,1
816,1
817,2
818,2
819,2
820,0
821,0
822,1
823,0
824,1
825,0
826,0
827,0
828,0
829,0
830,2
831,0
832,1
833,0
834,1
835,2
836,0
837,1
838,0
839,1
840,0
841,1
842,1
843,1
844,0
845,0
846,0
847,1
848,0
849,0
850,0
851,0
852,0
853,1
854,1
855,1
856,0
857,1
858,1
859,1
860,1
861,0
862,0
863,1
864,0
865,0
866,1
867,2
868,1
869,2
870,0
871,1
872,1
873,0
874,1
875,0
876,2
877,0
878,1
879,0
880,0
881,0
882,2
883,1
884,0
885,0
886,2
887,0
888,1
889,2
890,2
891,0
892,0
893,0
894,2
895,1
896,0
897,1
898,0
899,0
900,1
901,1
902,1
903,2
904,1
905,0
906,2
907,1
908,2
909,0
910,1
911,1
912,2
913,1
914,0
915,0
916,0
917,0
918,1
919,0
920,0
921,1
922,0
923,1
924,1
925,1
926,0
927,1
928,1
929,1
930,0
931,0
932,0
933,0
934,0
935,1
936,1
937,1
938,2
939,1
940,0
941,2
942,0
943,0
944,1
945,1
946,0
947,1
948,0
949,1
950,2
951,0
952,1
953,0
954,1
955,0
956,1
957,1
958,1
959,1
960,0
961,1
962,1
963,0
