,prediction
0,2
1,2
2,1
3,1
4,1
5,1
6,2
7,2
8,1
9,2
10,2
11,1
12,1
13,2
14,2
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,0
24,1
25,1
26,1
27,1
28,1
29,2
30,1
31,1
32,0
33,1
34,1
35,2
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,2
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,2
63,1
64,1
65,1
66,1
67,2
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,2
81,1
82,1
83,1
84,1
85,2
86,1
87,1
88,2
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,2
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,0
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,2
126,2
127,2
128,1
129,1
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,1
138,1
139,1
140,2
141,2
142,2
143,1
144,1
145,1
146,2
147,2
148,2
149,1
150,1
151,2
152,2
153,2
154,2
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,2
168,1
169,2
170,0
171,0
172,2
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,2
197,1
198,1
199,1
200,2
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,0
214,1
215,1
216,0
217,1
218,1
219,1
220,1
221,0
222,1
223,1
224,2
225,2
226,2
227,0
228,1
229,2
230,1
231,2
232,2
233,2
234,1
235,1
236,1
237,2
238,2
239,1
240,2
241,1
242,1
243,2
244,2
245,2
246,2
247,1
248,1
249,2
250,1
251,2
252,1
253,2
254,1
255,1
256,1
257,1
258,2
259,2
260,2
261,0
262,1
263,2
264,2
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,2
275,1
276,1
277,1
278,1
279,1
280,1
281,2
282,1
283,1
284,1
285,1
286,0
287,2
288,1
289,0
290,0
291,1
292,1
293,1
294,0
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,2
306,1
307,1
308,1
309,1
310,0
311,1
312,0
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,0
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,0
331,1
332,1
333,1
334,1
335,1
336,1
337,0
338,1
339,1
340,0
341,1
342,1
343,1
344,1
345,2
346,1
347,1
348,1
349,0
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,2
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,0
376,2
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,2
399,1
400,2
401,1
402,2
403,2
404,2
405,1
406,2
407,1
408,2
409,1
410,1
411,2
412,1
413,1
414,1
415,1
416,1
417,2
418,2
419,1
420,1
421,1
422,1
423,1
424,2
425,1
426,1
427,2
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,2
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,2
449,2
450,1
451,1
452,1
453,1
454,1
455,2
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,0
468,0
469,1
470,1
471,1
472,2
473,1
474,2
475,2
476,2
477,1
478,1
479,2
480,2
481,2
482,1
483,2
484,1
485,2
486,2
487,1
488,2
489,1
490,2
491,2
492,1
493,2
494,1
495,1
496,1
497,2
498,2
499,2
500,2
501,2
502,1
503,1
504,1
505,2
506,1
507,2
508,2
509,2
510,1
511,1
512,2
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,2
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,0
539,1
540,2
541,1
542,1
543,1
544,1
545,1
546,1
