,prediction
0,1
1,2
2,2
3,1
4,2
5,2
6,1
7,1
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,1
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,1
27,1
28,1
29,1
30,2
31,2
32,0
33,1
34,2
35,2
36,2
37,2
38,2
39,2
40,1
41,1
42,1
43,2
44,1
45,1
46,1
47,1
48,1
49,2
50,2
51,2
52,1
53,1
54,2
55,2
56,2
57,2
58,1
59,2
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,2
69,2
70,1
71,2
72,1
73,2
74,1
75,2
76,1
77,2
78,2
79,2
80,1
81,2
82,2
83,2
84,2
85,2
86,2
87,1
88,2
89,2
90,1
91,1
92,1
93,1
94,1
95,2
96,1
97,1
98,2
99,0
100,0
101,0
102,0
103,1
104,2
105,2
106,1
107,2
108,2
109,1
110,2
111,2
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,0
121,0
122,1
123,0
124,2
125,1
126,2
127,0
128,1
129,1
130,2
131,1
132,0
133,1
134,0
135,0
136,0
137,0
138,1
139,1
140,0
141,0
142,1
143,1
144,1
145,2
146,1
147,1
148,1
149,0
150,1
151,2
152,2
153,0
154,1
155,1
156,1
157,2
158,0
159,1
160,0
161,0
162,1
163,1
164,1
165,0
166,0
167,0
168,0
169,0
170,1
171,0
172,1
173,0
174,1
175,0
176,2
177,2
178,1
179,1
180,1
181,1
182,2
183,2
184,2
185,1
186,0
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,0
195,1
196,1
197,1
198,0
199,1
200,0
201,2
202,1
203,2
204,0
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,2
213,2
214,1
215,2
216,2
217,1
218,0
219,0
220,1
221,2
222,1
223,0
224,1
225,0
226,1
227,0
228,0
229,1
230,1
231,0
232,1
233,2
234,1
235,1
236,1
237,0
238,1
239,2
240,1
241,1
242,1
243,1
244,2
245,1
246,1
247,1
248,1
249,1
250,1
251,2
252,2
253,2
254,0
255,2
256,1
257,2
258,1
259,1
260,1
261,1
262,0
263,2
264,1
265,2
266,2
267,1
268,2
269,1
270,2
271,2
272,1
273,2
274,2
275,1
276,2
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,2
286,1
287,1
288,1
289,2
290,1
291,1
292,1
293,1
294,2
295,2
296,2
297,1
298,0
299,0
300,0
301,1
302,0
303,1
304,0
305,1
306,0
307,0
308,0
309,0
310,1
311,1
312,1
313,0
314,1
315,1
316,0
317,1
318,1
319,1
320,1
321,1
322,0
323,0
324,0
325,1
326,2
327,0
328,0
329,1
330,0
331,0
332,1
333,1
334,1
335,1
336,0
337,1
338,0
339,0
340,0
341,0
342,1
343,0
344,0
345,1
346,0
347,0
348,1
349,0
350,0
351,0
352,1
353,0
354,0
355,0
356,1
357,1
358,0
359,0
360,0
361,0
362,0
363,0
364,2
365,1
366,0
367,2
368,1
369,0
370,0
371,0
372,0
373,1
374,0
375,0
376,0
377,1
378,1
379,1
380,0
381,1
382,0
383,0
384,1
385,1
386,0
387,0
388,1
389,0
390,0
391,2
392,0
393,0
394,0
395,1
396,1
397,1
398,0
399,1
400,1
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,1
409,0
410,1
411,1
412,0
413,1
414,1
415,1
416,1
417,1
418,1
419,0
420,1
421,1
422,1
423,0
424,1
425,0
426,1
427,0
428,0
429,0
430,1
431,0
432,0
433,0
434,2
435,1
436,0
437,1
438,0
439,0
440,0
441,0
442,1
443,0
444,0
445,0
446,0
447,2
448,0
449,0
450,0
451,1
452,0
453,0
454,2
455,0
456,0
457,0
458,0
459,2
460,0
461,0
462,2
463,1
464,0
465,2
466,1
467,0
468,0
469,1
470,1
471,0
472,0
473,1
474,1
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,1
484,1
485,1
486,1
487,0
488,1
489,1
490,0
491,2
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,1
500,0
501,0
502,0
503,1
504,1
505,2
506,1
507,0
508,2
509,2
510,1
511,2
512,2
513,2
514,1
515,1
516,1
517,1
518,1
519,1
520,2
521,1
522,2
523,1
524,1
525,2
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,2
536,1
537,2
538,2
539,2
540,0
541,2
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,0
550,1
551,1
552,1
553,1
554,1
555,2
556,1
557,2
558,2
559,2
560,2
561,0
562,0
563,2
564,1
565,2
566,1
567,1
568,2
569,2
570,2
571,1
572,1
573,0
574,0
575,0
576,2
577,2
578,1
579,2
580,2
581,0
582,1
583,0
584,0
585,0
586,0
587,1
588,1
589,1
590,0
591,1
592,2
593,1
594,1
595,1
596,0
597,1
598,1
599,1
600,1
601,1
602,1
603,2
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,2
618,1
619,1
620,1
621,1
622,1
623,1
624,1
625,2
626,2
627,2
628,2
629,2
630,1
631,1
632,2
633,1
634,1
635,0
636,0
637,0
638,1
639,1
640,0
641,1
642,1
643,0
644,1
645,1
646,2
647,0
648,1
649,1
650,0
651,2
652,0
653,0
654,0
655,1
656,0
657,0
658,1
659,1
660,0
661,0
662,1
663,1
664,1
665,0
666,0
667,2
668,0
669,0
670,0
671,0
672,1
673,0
674,1
675,1
676,0
677,0
678,1
679,1
680,0
681,0
682,0
683,0
684,1
685,0
686,0
687,0
688,1
689,1
690,0
691,1
692,1
693,1
694,0
695,1
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,1
704,1
705,0
706,0
707,0
708,0
709,2
710,0
711,0
712,0
713,2
714,2
715,1
716,1
717,1
718,1
719,0
720,1
721,0
722,1
723,1
724,1
725,1
726,1
727,1
728,0
729,0
730,1
731,0
732,0
733,1
734,1
735,2
736,0
737,1
738,2
739,2
740,1
741,2
742,2
743,1
744,2
745,1
746,1
747,1
748,1
749,0
750,0
751,0
752,0
753,0
754,1
755,0
756,0
757,0
758,1
759,2
760,2
761,2
762,0
763,1
764,1
765,2
766,0
767,1
768,2
769,1
770,2
771,2
772,1
773,1
774,2
775,2
776,1
777,0
778,0
779,0
780,2
781,1
782,2
783,2
784,0
785,0
786,1
787,0
788,1
789,1
790,0
791,2
792,2
793,2
794,1
795,1
796,0
797,0
798,1
799,2
800,0
801,1
802,1
803,1
804,1
805,0
806,1
807,0
808,1
809,1
810,1
811,1
812,1
813,0
814,0
815,1
816,2
817,1
818,1
819,1
820,0
821,1
822,1
823,0
824,0
825,0
826,0
827,0
828,1
829,1
830,1
831,0
832,1
833,0
834,1
835,1
836,0
837,0
838,0
839,0
840,1
841,0
842,0
843,0
844,1
845,0
846,1
847,0
848,0
849,0
850,0
851,1
852,0
853,1
854,0
855,1
856,0
857,1
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,1
868,0
869,2
870,0
871,1
872,1
873,1
874,1
875,1
876,1
877,1
878,1
879,2
880,0
881,0
882,0
883,1
884,0
885,0
886,1
887,1
888,1
889,2
890,0
891,1
892,2
893,1
894,0
895,0
896,1
897,1
898,0
899,0
900,0
901,0
902,1
903,0
904,1
905,1
906,1
907,1
908,1
909,1
910,2
911,1
912,1
913,0
914,0
915,1
916,1
917,0
918,1
919,1
920,1
921,0
922,1
923,0
924,0
925,0
926,0
927,1
928,0
929,0
930,0
931,0
932,0
933,0
934,1
935,0
936,0
937,0
938,1
939,0
940,0
941,1
942,1
943,0
944,0
945,0
946,1
947,1
948,2
949,2
950,2
951,0
952,0
953,0
954,0
955,0
956,0
957,1
958,1
959,1
960,0
961,1
962,1
963,0
